kt,상관관계,kia,상관관계,lg,상관관계,nc,상관관계,ssg,상관관계,두산,상관관계,롯데,상관관계,삼성,상관관계,키움,상관관계,한화,상관관계,,지운 데이터
총타자상대,-0.743673311,도루허용,-0.287373462,견제사,-0.583386367,고의사구,-0.488819721,사구_투수,-0.561840972,삼진_투수,-0.3054403,피안타율,-0.340218995,순위,-0.509615757,볼넷_투수,-0.704226921,완봉,-0.332279374,,
병살타,-0.757399614,누적이동거리,-0.291223784,어시스트,-0.619635269,볼넷_투수,-0.510034905,피안타율,-0.58263585,평균연봉,-0.325035656,볼넷_투수,-0.385187873,피안타율,-0.518185852,투구수,0.81479802,홀드,-0.34208071,,
투구수,-0.836103248,수비율,-0.344334865,2루타_투수,0.688957227,블론세이브,-0.517034605,도루저지율,-0.610115434,삼진,-0.376969524,순위,-0.407134925,피안타,-0.581772659,ERA,-0.832518889,3루타_투수,-0.392964279,,
피안타,-0.865361353,견제사,-0.348640994,ERA,-0.726228258,삼진,-0.527998489,병살타,-0.65121377,희생번트,-0.38170404,총타자상대,-0.441631996,볼넷_투수,-0.624994558,도루허용,-0.869999007,고의사구,-0.428930254,,
2루타_투수,-0.870598684,보크,-0.350136575,폭투,-0.730105109,희생플라이_투수,-0.607069691,순위_투수,-0.680053542,블론세이브,-0.397211722,고의사구,-0.443073964,보크,-0.688599334,폭투,-0.906481373,볼넷_투수,-0.467994239,,
WHIP,-0.877491303,완봉,-0.483412445,순위,-0.739569175,포일,-0.658426014,투구수,-0.75024238,홀드,-0.456354412,희생플라이_투수,-0.461753185,총타자상대,-0.690037272,WHIP,-0.923209378,블론세이브,-0.580470353,,
피안타율,-0.882147729,볼넷_투수,-0.667080497,도루저지율,-0.752917382,WHIP,-0.693350147,총타자상대,-0.764105955,투구수,-0.613394298,WHIP,-0.707059144,병살,-0.695706636,삼진,-0.94067542,희생플라이_투수,-0.587277704,,
순위_투수,0.889498371,순위,-0.688684545,완투,-0.798014635,2루타_투수,-0.732581028,볼넷_투수,-0.851438764,볼넷_투수,-0.617344146,폭투,-0.819517146,WHIP,-0.704093794,총타자상대,-0.960652555,순위,-0.631942084,,
ERA,-0.906635655,순위_투수,-0.779919689,사구_투수,-0.811316413,순위,-0.813512546,WHIP,0.865247262,순위,-0.650205723,순위_투수,-0.951930402,어시스트,-0.897964066,희생플라이_투수,-0.974051909,삼진,-0.634067573,,
사구_투수,-0.98586849,희생플라이_투수,-0.949723703,삼진,-0.883020289,순위_투수,-0.972503553,ERA,-0.931178667,순위_투수,-0.729282085,패배,,순위_투수,-0.96198208,순위_투수,-0.977892084,순위_투수,-0.936038967,,
,,,,,,,,,,포일,-0.810883721,,,,,,,,,,
