kt_변수,kt_상관관계,kia_변수,kia_상관관계,lg_변수,lg_상관관계,nc_변수,nc_상관관계,ssg_변수,ssg_상관관계,두산_변수,두산_상관관계,롯데_변수,롯데_상관관계,삼성_변수,삼성_상관관계,키움_변수,키움_상관관계,한화_변수,한화_상관관계
3루타,0.370283639,2루타,0.719894688,멀티히트,0.187617071,장타율,0.647912935,득점,0.177954818,병살,0.694099048,타석,0.482033809,타율,0.448304305,견제사,0.55850452,누적이동거리,0.613970521
출루율,0.282291261,희생플라이,0.718144129,출루율,0.149500093,희생번트,0.64196273,견제사,0.171645971,타수,0.683886129,사구,0.480250239,득점권타율,0.446462387,삼진_투수,0.536371982,사구,0.584720566
득점,0.265058762,홈런,0.704710301,희생플라이,0.1289381,볼넷,0.579356256,희생플라이,0.156665756,득점권타율,0.681716982,퀄리티스타트,0.46656934,완투,0.355363072,완투,0.520762054,포일,0.581698024
타점,0.174015384,삼진_투수,0.61445716,타석,0.084348438,타수,0.548170684,타석,0.153511232,3루타,0.668625563,수비율,0.437445719,수비율,0.345632845,완봉,0.467141489,타수,0.569546443
견제사,0.169777601,3루타,0.53585923,블론세이브,0.073783991,수비율,0.533159672,대타타율,0.135263236,풋아웃,0.636257445,희생번트,0.428846205,안타,0.321840166,볼넷,0.450400391,고의타구,0.567992165
희생플라이_투수,0.168777868,멀티히트,0.515410769,사구,0.062788985,사구_투수,0.516717514,삼진,0.116896935,희생플라이,0.601197566,2루타,0.425115199,타석,0.30203086,타율,0.401530673,타석,0.549020901
블론세이브,0.153929463,총타자상대,0.434210476,볼넷_투수,0.059273194,완봉,0.461400784,안타,0.107174633,홈런,0.600754732,홈런,0.393734094,희생플라이,0.286719846,2루타,0.374528721,병살,0.529249689
멀티히트,0.015059104,완투,0.389823157,퀄리티스타트,0.038896129,희생타,0.457828728,고의타구,0.103860244,볼넷,0.572212884,보크,0.351354807,고의타구,0.24909381,수비율,0.356123822,폭투,0.522749422
삼진_투수,-0.007989164,피안타,0.385751026,희생플라이_투수,0.011646365,고의타구,0.429619038,누적이동거리,0.084592864,어시스트,0.51321059,블론세이브,0.304620117,대타타율,0.174092198,퀄리티스타트,0.345237614,풋아웃,0.510716241
희생번트,-0.013827676,세이브,0.373489699,3루타_투수,0.009149519,멀티히트,0.336873814,수비율,0.084113577,완투,0.500274831,홀드,0.285617854,도루허용,0.15461091,대타타율,0.326341451,어시스트,0.483915693
타수,-0.037176564,포일,0.341841649,희생번트,-0.051951416,병살타,0.331937676,타율,0.066171641,사구_투수,0.381821922,대타타율,0.274764415,희생타,0.11592772,득점권타율,0.266591363,피안타,0.463570983
누적이동거리,-0.10339921,투구수,0.338981848,수비율,-0.079596804,어시스트,0.32338242,루타,0.055328938,사구,0.377750613,누적이동거리,0.274018036,평균연봉,0.11319247,멀티히트,0.243284786,수비율,0.435280227
출루율+장타율,-0.164022149,블론세이브,0.323599952,대타타율,-0.111562808,희생플라이,0.295529938,병살,0.031040735,세이브,0.362923339,볼넷,0.240052393,도루저지율,0.089355521,병살,0.237487266,피안타율,0.431995407
홈런,-0.164574171,평균연봉,0.3081289,병살,-0.118490927,병살,0.274202291,장타율,0.023615714,피안타,0.358922878,어시스트,0.231749894,사구,0.086808755,안타,0.212344034,도루저지율,0.414650972
안타,-0.237578192,퀄리티스타트,0.298705684,출루율+장타율,-0.120414356,삼진_투수,0.240172479,희생타,0.01366729,피안타율,0.356112581,타수,0.226421703,삼진,0.066021249,풋아웃,0.201908517,대타타율,0.367380118
포일,-0.242888063,어시스트,0.286338892,타율,-0.145277496,홈런,0.221597997,출루율+장타율,0.009973839,도루저지율,0.266452551,완봉,0.195049749,희생번트,0.015722173,고의타구,0.147603546,병살타,0.358152071
루타,-0.246130055,병살,0.230947166,병살타,-0.17784632,홀드,0.192167665,3루타,-0.029784861,멀티히트,0.233345848,삼진_투수,0.127185053,누적이동거리,0.007874172,사구,-0.045276002,견제사,0.31635439
장타율,-0.287436221,피안타율,0.21361486,보크,-0.180719558,대타타율,0.157818417,희생번트,-0.034540603,3루타_투수,0.209722315,포일,0.122951173,2루타,-0.034420193,평균연봉,-0.064908,멀티히트,0.307560085
타율,-0.315889759,고의사구,0.210504322,안타,-0.186631724,도루저지율,0.141371122,출루율,-0.039382302,고의사구,0.140911786,사구_투수,0.043427725,견제사,-0.051661767,희생타,-0.106885558,삼진_투수,0.290892333
득점권타율,-0.343766508,2루타_투수,0.195250142,장타율,-0.225435229,사구,0.049879558,순위,-0.053239691,완봉,0.13955644,2루타_투수,0.027566648,블론세이브,-0.075616536,희생번트,-0.146623779,희생번트,0.252040682
볼넷_투수,-0.385434453,병살타,0.188990143,루타,-0.232416837,퀄리티스타트,0.038420348,멀티히트,-0.058166337,병살타,0.051003052,3루타_투수,0.007481625,고의사구,-0.080209804,2루타_투수,-0.205672604,ERA,-0.234320235
사구,-0.391420132,고의타구,0.183904439,타수,-0.234312603,누적이동거리,-0.011813883,고의사구,-0.078758551,ERA,0.027384853,완투,-0.00347084,타수,-0.086194888,누적이동거리,-0.284104442,3루타,0.207286021
2루타,-0.39474068,희생번트,0.125952254,투구수,-0.235616726,평균연봉,-0.100681406,3루타_투수,-0.08027686,견제사,-0.006431698,견제사,-0.010907281,2루타_투수,-0.119254955,3루타_투수,-0.284961333,총타자상대,0.081485494
병살,-0.469047126,폭투,0.00622138,포일,-0.23856956,폭투,-0.038799569,홈런,-0.096679128,폭투,-0.038136587,투구수,-0.02404003,병살타,-0.219290899,타석,-0.328803718,보크,0.07322553
보크,-0.505149248,도루저지율,0.002846675,총타자상대,-0.248923387,완투,-0.113279895,블론세이브,-0.101813466,대타타율,-0.043391946,병살,-0.050338222,풋아웃,-0.26664826,보크,-0.385929944,완투,0.072665295
대타타율,-0.514767416,3루타_투수,0.00160884,홈런,-0.262567868,보크,-0.242581383,완투,-0.183780029,희생플라이_투수,-0.073014421,도루저지율,-0.061703526,멀티히트,-0.321768681,고의사구,-0.434843329,퀄리티스타트,0.053302631
어시스트,-0.51703166,사구,-0.031592954,삼진_투수,-0.285871906,견제사,-0.272588707,볼넷,-0.199906224,누적이동거리,-0.162892475,희생플라이,-0.08906088,3루타,-0.345469265,타수,-0.454396973,사구_투수,0.003107368
도루허용,-0.538933857,WHIP,-0.051337244,고의사구,-0.329308084,총타자상대,-0.365507583,포일,-0.306791746,희생타,-0.21162275,평균연봉,-0.10437,사구_투수,-0.355201957,사구_투수,-0.482478478,WHIP,-0.002645372
희생타,-0.551143993,ERA,0.199866119,희생타,-0.342593392,도루허용,-0.379424969,폭투,-0.324413431,고의타구,-0.215930544,도루허용,-0.109569212,포일,-0.370607274,희생플라이,-0.490105321,희생타,-0.019099918
3루타_투수,-0.595308338,홀드,-0.206037797,순위_투수,-0.363621175,피안타,-0.408724434,희생플라이_투수,-0.390295513,총타자상대,-0.227311225,ERA,0.150231457,3루타_투수,-0.384062137,순위,-0.584519419,투구수,-0.076578459
폭투,-0.664356595,볼넷,-0.20778102,2루타,-0.435577055,투구수,-0.430054479,도루허용,-0.401996687,도루허용,-0.258935599,희생타,-0.170433323,폭투,-0.396450894,블론세이브,-0.591352856,도루허용,-0.101019238
도루저지율,-0.673476685,사구_투수,-0.240663041,WHIP,-0.460652623,피안타율,-0.437856645,피안타,-0.459838676,보크,-0.261139207,3루타,-0.208225782,희생플라이_투수,-0.401169275,포일,-0.639755069,2루타_투수,-0.125428171
