kt,,kia,,lg,,nc,,ssg,,두산,,롯데,,삼성,,키움,,한화,,,,
변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,,투수요인,
사구,-0.391420132,고의타구,0.183904439,루타,-0.232416837,폭투,-0.038799569,피홈런,-0.435720768,자책점,0.05216641,견제사,-0.010907281,블론세이브,-0.075616536,누적이동거리,-0.284104442,ERA,0.234320235,,,
2루타,-0.39474068,연도,0.1801048,타수,-0.234312603,피홈런,-0.040247477,안타,-0.495274685,병살타,0.051003052,투구수,-0.02404003,고의사구,-0.080209804,3루타_투수,-0.284961333,3루타,0.207286021,,,
병살,-0.469047126,피홈런,0.142134278,투구수,-0.235616726,완투,-0.113279895,도루실패,-0.549595529,ERA,0.027384853,병살,-0.050338222,타수,-0.086194888,타석,-0.328803718,실점,0.202240769,,,
보크,-0.505149248,희생번트,0.125952254,포일,-0.23856956,보크,-0.242581383,타율,-0.584903134,견제사,-0.006431698,도루저지율,-0.061703526,2루타_투수,-0.119254955,순위_수비,-0.36556135,도루실패,0.183131501,,,
대타타율,-0.514767416,실점,0.039713826,총타자상대,-0.248923387,견제사,-0.272588707,피안타,-0.628823503,폭투,-0.038136587,희생플라이,-0.08906088,병살타,-0.219290899,보크,-0.385929944,총타자상대,0.081485494,,,
어시스트,-0.51703166,폭투,0.00622138,홈런,-0.262567868,총타자상대,-0.365507583,희생플라이,-0.636317932,대타타율,-0.043391946,도루실패,-0.093069716,풋아웃,-0.26664826,고의사구,-0.434843329,보크,0.07322553,,,
도루허용,-0.538933857,도루저지율,0.002846675,삼진_투수,-0.285871906,도루허용,-0.379424969,타석,-0.677627605,희생플라이_투수,-0.073014421,평균연봉,-0.10437,멀티히트,-0.321768681,피홈런,-0.449162736,완투,0.072665295,,,
희생타,-0.551143993,3루타_투수,0.00160884,고의사구,-0.329308084,자책점,-0.400258793,피안타율,-0.686435664,실점,-0.122130445,도루허용,-0.109569212,3루타,-0.345469265,타수,-0.454396973,퀄리티스타트,0.053302631,,,
3루타_투수,-0.595308338,사구,-0.031592954,희생타,-0.342593392,피안타,-0.408724434,루타,-0.695894866,누적이동거리,-0.162892475,연도,-0.122124781,실책,-0.354109533,사구_투수,-0.482478478,사구_투수,0.003107368,,,
실책,-0.615199171,WHIP,-0.051337244,순위_투수,-0.363621175,투구수,-0.430054479,홈런,-0.700281431,희생타,-0.21162275,자책점,-0.123003458,사구_투수,-0.355201957,희생플라이,-0.490105321,WHIP,-0.002645372,,,
